"rid", "binaryID"
25132,1
20599,10
20600,100
22646,101
20601,1000
22644,1001
21951,1010
19807,10000
20602,10001
21887,10010
21950,10100
22722,10101
19808,100000
20603,100010
19809,1000000
20604,1000100
21954,1000101
19810,10000000
20605,10001000
22645,10001001
21949,10001010
19811,100000000
22643,100000001
20606,100010000
21895,100010001
21894,100010010
19812,1000000000
22642,1000000001
21955,1000000010
20607,1000100000
21896,1000100001
19813,10000000000
20585,10000000001
21956,10000000010
21952,10000000100
20608,10001000000
22719,10001000001
21959,10001000010
19814,100000000000
20586,100000000010
21953,100000001000
21957,100000001001
20609,100010000000
22720,100010000010
22059,100010000100
22060,100010000101
19815,1000000000000
22640,1000000000001
20587,1000000000100
22208,1000000000101
21958,1000000010000
22086,1000000010001
21882,1000000010010
22721,1000100000100
22062,1000100001000
22063,1000100001010
19816,10000000000000
22639,10000000000001
22207,10000000000010
20588,10000000001000
22203,10000000001001
21885,10000000100000
21888,10000000100010
19817,100000000000000
22638,100000000000001
22209,100000000000010
20589,100000000010000
22202,100000000010001
22185,100000000010010
22186,100000000010011
19818,1000000000000000
22637,1000000000000001
22200,1000000000000010
20590,1000000000100000
22172,1000000000100001
22167,1000000000100010
22168,1000000000100011
22182,1000000000100100
22183,1000000000100101
19819,10000000000000000
22636,10000000000000001
22197,10000000000000010
22206,10000000000000100
20591,10000000001000000
22171,10000000001000001
22174,10000000001000100
22725,10000000001000110
22163,10000000001001000
22162,10000000001001010
22641,100000000000000000
22718,100000000000000001
22198,100000000000000010
22189,100000000000000100
22205,100000000000001000
20592,100000000010000000
22734,100000000010000001
22169,100000000010000010
22170,100000000010000011
22159,100000000010010000
22160,100000000010010100
22161,100000000010010101
22201,1000000000000000000
19820,1000000000000000010
22177,1000000000000000100
22179,1000000000000000101
22187,1000000000000001000
22204,1000000000000010000
20593,1000000000100000000
22723,1000000000100000100
22724,1000000000100000110
22158,1000000000100100000
22196,10000000000000000000
22199,10000000000000000001
19821,10000000000000000100
19906,10000000000000000101
22180,10000000000000001010
20594,10000000001000000000
22730,10000000001000000001
22188,100000000000000000000
22194,100000000000000000010
22195,100000000000000000011
19822,100000000000000001000
19907,100000000000000001010
20577,100000000000000001011
22176,100000000000000010100
22178,100000000000000010101
20595,100000000010000000000
22728,100000000010000000010
22729,100000000010000000011
22193,1000000000000000000100
22191,1000000000000000000110
19823,1000000000000000010000
19908,1000000000000000010100
22635,1000000000000000010101
20578,1000000000000000010110
22181,1000000000000000101010
22726,1000000000100000000100
22727,1000000000100000000101
19824,10000000000000000100000
19909,10000000000000000101000
20326,10000000000000000101001
22190,10000000000000000101010
20579,10000000000000000101100
22192,10000000000000000101101
22733,10000000001000000001000
19825,100000000000000001000000
19910,100000000000000001010000
20327,100000000000000001010010
22173,100000000000000001010100
20580,100000000000000001011000
22184,100000000000000001011001
22732,100000000010000000010000
19826,1000000000000000010000000
19911,1000000000000000010100000
19928,1000000000000000010100001
20328,1000000000000000010100100
20571,1000000000000000010100101
22744,1000000000000000010101000
20581,1000000000000000010110000
22175,1000000000000000010110001
22731,1000000000100000000100000
19827,10000000000000000100000000
19896,10000000000000000100000001
19912,10000000000000000101000000
19929,10000000000000000101000010
22634,10000000000000000101000011
20329,10000000000000000101001000
20572,10000000000000000101001010
20582,10000000000000000101100000
22745,10000000000000000101100010
19828,100000000000000001000000000
21961,100000000000000001000000001
19897,100000000000000001000000010
19901,100000000000000001000000011
19913,100000000000000001010000000
22145,100000000000000001010000001
19930,100000000000000001010000100
22632,100000000000000001010000101
22166,100000000000000001010000110
20330,100000000000000001010010000
22164,100000000000000001010010001
20573,100000000000000001010010100
20583,100000000000000001011000000
21174,100000000000000001011000100
19829,1000000000000000010000000000
21963,1000000000000000010000000010
21964,1000000000000000010000000011
19898,1000000000000000010000000100
21883,1000000000000000010000000101
19902,1000000000000000010000000110
21881,1000000000000000010000000111
19914,1000000000000000010100000000
22115,1000000000000000010100000001
22144,1000000000000000010100000010
22146,1000000000000000010100000011
19931,1000000000000000010100001000
22633,1000000000000000010100001001
22165,1000000000000000010100001010
20331,1000000000000000010100100000
20574,1000000000000000010100101000
21169,1000000000000000010100101001
20584,1000000000000000010110000000
21164,1000000000000000010110000001
19830,10000000000000000100000000000
22058,10000000000000000100000000001
22070,10000000000000000100000000100
21960,10000000000000000100000000110
21962,10000000000000000100000000111
19899,10000000000000000100000001000
21884,10000000000000000100000001010
19903,10000000000000000100000001100
21880,10000000000000000100000001101
22090,10000000000000000100000001110
19915,10000000000000000101000000000
22148,10000000000000000101000000001
22112,10000000000000000101000000010
22134,10000000000000000101000000011
22141,10000000000000000101000000100
22142,10000000000000000101000000101
19932,10000000000000000101000010000
22631,10000000000000000101000010001
22157,10000000000000000101000010010
20332,10000000000000000101001000000
20544,10000000000000000101001000001
20575,10000000000000000101001010000
22713,10000000000000000101001010001
21162,10000000000000000101100000010
18863,100000000000000001000000000000
19857,100000000000000001000000000001
21886,100000000000000001000000001100
21889,100000000000000001000000001110
21892,100000000000000001000000001111
19900,100000000000000001000000010000
22123,100000000000000001000000010001
19904,100000000000000001000000011000
21879,100000000000000001000000011010
19916,100000000000000001010000000000
22122,100000000000000001010000000001
22118,100000000000000001010000000010
22114,100000000000000001010000000100
22143,100000000000000001010000000110
22147,100000000000000001010000001000
22140,100000000000000001010000001010
19933,100000000000000001010000100000
20313,100000000000000001010000100001
21171,100000000000000001010000100010
20333,100000000000000001010010000000
21161,100000000000000001010010000001
20545,100000000000000001010010000010
20576,100000000000000001010010100000
21160,100000000000000001010010100001
18864,1000000000000000010000000000000
22061,1000000000000000010000000000001
19858,1000000000000000010000000000010
21890,1000000000000000010000000011100
21893,1000000000000000010000000011110
19905,1000000000000000010000000110000
22116,1000000000000000010000000110100
19917,1000000000000000010100000000000
22121,1000000000000000010100000000001
22126,1000000000000000010100000000010
22119,1000000000000000010100000000100
22113,1000000000000000010100000001000
22139,1000000000000000010100000010100
19934,1000000000000000010100001000000
22630,1000000000000000010100001000001
20314,1000000000000000010100001000010
20334,1000000000000000010100100000000
