"x"
123
144
168
203
247
267
489
666
799
804
1032
1378
1580
1765
1302
1257
1558
1326
1022
662
502
403
296
213
211
171
140
98
155
130
79
81
92
59
67
84
79
61
65
57
47
63
67
71
87
101
120
148
195
131
168
158
245
329
303
349
392
338
349
417
482
439
547
753
784
898
947
1003
1111
855
654
486
337
232
184
157
162
149
142
141
166
135
121
154
125
112
112
114
101
102
99
98
93
109
118
84
100
112
130
146
148
143
118
163
303
259
200
199
244
221
219
242
290
269
277
292
264
281
359
365
318
265
214
182
188
151
109
133
154
141
112
74
98
86
93
83
63
68
55
56
86
66
57
84
58
71
68
58
82
67
82
86
107
79
84
115
169
245
256
223
262
217
340
464
541
562
750
886
938
1301
1680
1536
1076
783
620
544
363
273
309
204
188
148
134
128
122
80
104
84
65
59
72
64
75
88
71
63
74
70
71
88
91
90
98
130
135
126
120
121
80
183
198
214
315
345
470
610
669
976
1346
2064
3148
4126
6207
7679
7049
6086
4509
4248
2594
1753
1141
842
777
638
491
314
305
273
276
216
186
242
183
167
223
164
164
140
195
161
132
144
142
123
108
131
111
125
100
109
53
370
389
640
870
1498
1937
3163
4942
7568
10207
12367
5016
4058
4824
4498
4399
3725
2777
1754
1082
738
600
403
268
203
355
272
274
232
189
150
180
138
103
110
87
135
155
171
173
192
199
188
215
290
326
414
528
622
553
532
468
252
209
194
195
247
204
307
287
425
460
342
324
259
262
203
220
203
184
104
116
120
110
107
95
44
89
216
195
118
153
171
169
172
157
158
188
192
186
158
142
223
262
260
302
326
307
323
378
340
289
332
659
161
93
83
88
73
60
63
65
76
63
77
62
86
372
360
369
236
219
267
184
193
201
192
126
155
121
128
124
106
115
109
122
119
138
151
164
182
188
215
224
239
274
219
236
277
248
264
281
271
256
251
256
401
557
696
549
540
465
456
446
397
351
298
266
252
294
257
193
188
234
197
192
114
122
121
132
90
135
98
85
93
81
75
77
76
79
64
62
88
121
113
103
104
122
90
101
119
123
137
187
189
220
188
182
346
373
405
433
553
595
663
838
899
1147
1447
1606
1831
2210
2662
2972
3812
3887
3979
3628
3492
2669
1810
1457
1231
1124
641
519
440
445
366
397
253
235
258
233
302
285
231
272
291
254
231
268
280
217
245
227
266
306
296
211
311
578
566
582
659
695
886
856
712
727
857
511
419
419
418
510
585
516
408
404
283
229
247
237
197
175
187
158
138
128
123
86
117
70
95
105
117
103
129
132
84
81
96
70
86
115
116
131
144
159
105
115
105
231
205
210
217
314
344
451
426
544
581
713
808
1153
1679
1752
1701
1561
1472
1226
1017
853
781
583
513
409
314
289
270
225
188
172
219
242
213
159
166
178
188
179
157
152
156
124
167
144
186
239
291
365
313
137
38
327
253
366
325
289
310
322
342
504
627
738
946
1257
1608
1935
2587
3177
3538
3522
2433
2336
1881
1398
1070
1026
834
715
639
566
473
453
343
326
317
257
307
259
332
308
401
482
473
449
364
317
353
284
321
278
101
38
180
