n_sim,cores,parallel,runs,failures,elapsed_mean,elapsed_sd,p_combined_mean
200,1,FALSE,10,0,4.3321,0.0996911341204532,0.13283582089552237
200,2,TRUE,10,0,4.078299999999997,0.16892276341571003,0.13582089552238807
500,1,FALSE,10,0,10.633999999999999,0.13406880488929676,0.13632734530938123
500,2,TRUE,10,0,9.428400000000002,0.1875024147992641,0.14590818363273456
1000,1,FALSE,10,0,21.7897,0.15603493198638846,0.21478521478521478
1000,2,TRUE,10,0,19.372600000000013,0.7153086668626749,0.15054945054945057
2500,1,FALSE,10,0,52.73569999999997,0.3470971845976061,0.22654938024790083
2500,2,TRUE,10,0,49.206999999999994,0.4379581410743661,0.2166333466613355
