dataset_id,n_points,window_side,cores,parallel,runs,failures,estimate_mean,estimate_sd,train_mean,train_sd,total_mean,total_sd
medium,106,50,1,FALSE,10,0,2.905800000000002,0.32764031769271,23.340300000000003,0.7554018871508806,26.246100000000002,0.7374801616917542
medium,106,50,7,TRUE,10,0,2.225000000000011,0.2663623263318067,23.762999999999998,0.15268849916669514,25.98800000000001,0.2783143706115124
win200,207,75,1,FALSE,10,0,7.7177000000000024,1.0896580554365571,36.04540000000003,0.15569856917917665,43.76310000000003,1.1386807620126829
win200,207,75,7,TRUE,10,0,4.774100000000044,0.7921582964702668,35.45059999999999,0.1935316224519867,40.22470000000003,0.7218056140294461
win400,413,100,1,FALSE,10,0,19.95229999999999,1.8721035732269025,60.19609999999998,0.5173675783339374,80.14839999999997,1.822492932466107
win400,413,100,7,TRUE,10,0,7.738199999999916,2.0150530072984165,60.08330000000014,0.2893936381086772,67.82150000000006,2.061143169861485
