rep,test_cens_achieved,oracle_cindex,sd_lp_emp_test
1,0.3,0.9010106589803302,3.6630273427515205
2,0.3,0.9071864235031163,3.811215975551241
3,0.3,0.9059530507070406,3.7918119730749313
4,0.3,0.9056414593112356,3.7409145371111454
5,0.3,0.9054878880826802,3.688673176582388
6,0.3,0.8996458848669069,3.762445812423541
7,0.3,0.9082408624956233,3.749572115962929
8,0.3,0.9040184602266081,3.7605861374542457
9,0.3,0.9092102525928116,3.7760641522119864
10,0.3,0.9115388173782673,3.791938630177887
11,0.3,0.9052463516160919,3.7563814998984855
12,0.3,0.9032155821655625,3.715289933087715
13,0.3,0.9015033205558973,3.7016091882519415
14,0.3,0.9030960452516823,3.5793234171040273
15,0.3,0.9036448381593161,3.7327163459194104
16,0.3,0.9044431032136995,3.6309290846881477
17,0.3,0.8995269769461229,3.6425683400415387
18,0.3,0.9077854569930074,3.8193179205546572
19,0.3,0.9081514032702003,3.72819135141135
20,0.3,0.9044193142933179,3.7090856323628922
