rep,cens_target,cens_achieved,lambda_exp_train,loss,test_cens_achieved,metric,value
2,0.9,0.9,29.399700793155173,coxtime,0.3,ibs,0.271368
3,0.1,0.216,0,cox,0.3,cindex,0.763799
3,0.1,0.216,0,cox,0.3,ibs,0.179349
3,0.1,0.216,0,cox_l2,0.3,cindex,0.7762
3,0.1,0.216,0,cox_l2,0.3,ibs,0.191397
3,0.1,0.216,0,aft,0.3,cindex,0.754514
3,0.1,0.216,0,aft,0.3,ibs,0.179542
3,0.1,0.216,0,coxtime,0.3,cindex,0.661391
3,0.1,0.216,0,coxtime,0.3,ibs,0.21924
3,0.3,0.3,0.05913253240590756,cox,0.3,cindex,0.785312
3,0.3,0.3,0.05913253240590756,cox,0.3,ibs,0.165942
3,0.3,0.3,0.05913253240590756,cox_l2,0.3,cindex,0.79631
3,0.3,0.3,0.05913253240590756,cox_l2,0.3,ibs,0.156221
3,0.3,0.3,0.05913253240590756,aft,0.3,cindex,0.750729
3,0.3,0.3,0.05913253240590756,aft,0.3,ibs,0.200634
3,0.3,0.3,0.05913253240590756,coxtime,0.3,cindex,0.658818
3,0.3,0.3,0.05913253240590756,coxtime,0.3,ibs,0.215012
3,0.5,0.5,0.3066576763596317,cox,0.3,cindex,0.760293
3,0.5,0.5,0.3066576763596317,cox,0.3,ibs,0.181083
3,0.5,0.5,0.3066576763596317,cox_l2,0.3,cindex,0.764356
3,0.5,0.5,0.3066576763596317,cox_l2,0.3,ibs,0.179928
3,0.5,0.5,0.3066576763596317,aft,0.3,cindex,0.746475
3,0.5,0.5,0.3066576763596317,aft,0.3,ibs,0.18903
3,0.5,0.5,0.3066576763596317,coxtime,0.3,cindex,0.729937
3,0.5,0.5,0.3066576763596317,coxtime,0.3,ibs,0.207065
3,0.7,0.7,1.3848666648746915,cox,0.3,cindex,0.740469
3,0.7,0.7,1.3848666648746915,cox,0.3,ibs,0.16045
3,0.7,0.7,1.3848666648746915,cox_l2,0.3,cindex,0.736807
3,0.7,0.7,1.3848666648746915,cox_l2,0.3,ibs,0.174857
3,0.7,0.7,1.3848666648746915,aft,0.3,cindex,0.778576
3,0.7,0.7,1.3848666648746915,aft,0.3,ibs,0.190094
3,0.7,0.7,1.3848666648746915,coxtime,0.3,cindex,0.709379
3,0.7,0.7,1.3848666648746915,coxtime,0.3,ibs,0.21261
3,0.9,0.9,30.642704454941214,cox,0.3,cindex,0.698306
3,0.9,0.9,30.642704454941214,cox,0.3,ibs,0.245146
3,0.9,0.9,30.642704454941214,cox_l2,0.3,cindex,0.695038
3,0.9,0.9,30.642704454941214,cox_l2,0.3,ibs,0.207497
3,0.9,0.9,30.642704454941214,aft,0.3,cindex,0.744565
3,0.9,0.9,30.642704454941214,aft,0.3,ibs,0.184514
3,0.9,0.9,30.642704454941214,coxtime,0.3,cindex,0.70524
3,0.9,0.9,30.642704454941214,coxtime,0.3,ibs,0.278913
4,0.1,0.2105,0,cox,0.3,cindex,0.769591
4,0.1,0.2105,0,cox,0.3,ibs,0.184022
4,0.1,0.2105,0,cox_l2,0.3,cindex,0.792279
4,0.1,0.2105,0,cox_l2,0.3,ibs,0.164197
4,0.1,0.2105,0,aft,0.3,cindex,0.762132
4,0.1,0.2105,0,aft,0.3,ibs,0.170791
4,0.1,0.2105,0,coxtime,0.3,cindex,0.644917
4,0.1,0.2105,0,coxtime,0.3,ibs,0.212376
4,0.3,0.3,0.06361076767222634,cox,0.3,cindex,0.784688
4,0.3,0.3,0.06361076767222634,cox,0.3,ibs,0.156115
4,0.3,0.3,0.06361076767222634,cox_l2,0.3,cindex,0.769856
4,0.3,0.3,0.06361076767222634,cox_l2,0.3,ibs,0.166979
4,0.3,0.3,0.06361076767222634,aft,0.3,cindex,0.714624
4,0.3,0.3,0.06361076767222634,aft,0.3,ibs,0.201549
4,0.3,0.3,0.06361076767222634,coxtime,0.3,cindex,0.673066
4,0.3,0.3,0.06361076767222634,coxtime,0.3,ibs,0.205993
4,0.5,0.5,0.3434441526261974,cox,0.3,cindex,0.764953
4,0.5,0.5,0.3434441526261974,cox,0.3,ibs,0.18548
4,0.5,0.5,0.3434441526261974,cox_l2,0.3,cindex,0.77008
4,0.5,0.5,0.3434441526261974,cox_l2,0.3,ibs,0.157094
4,0.5,0.5,0.3434441526261974,aft,0.3,cindex,0.752638
4,0.5,0.5,0.3434441526261974,aft,0.3,ibs,0.207213
4,0.5,0.5,0.3434441526261974,coxtime,0.3,cindex,0.724624
4,0.5,0.5,0.3434441526261974,coxtime,0.3,ibs,0.192987
4,0.7,0.7,1.7652805514874461,cox,0.3,cindex,0.74550399999999994
4,0.7,0.7,1.7652805514874461,cox,0.3,ibs,0.162898
4,0.7,0.7,1.7652805514874461,cox_l2,0.3,cindex,0.785092
4,0.7,0.7,1.7652805514874461,cox_l2,0.3,ibs,0.282001
4,0.7,0.7,1.7652805514874461,aft,0.3,cindex,0.697553
4,0.7,0.7,1.7652805514874461,aft,0.3,ibs,0.192251
4,0.7,0.7,1.7652805514874461,coxtime,0.3,cindex,0.70838
4,0.7,0.7,1.7652805514874461,coxtime,0.3,ibs,0.212111
4,0.9,0.9,24.860777884275887,cox,0.3,cindex,0.715843
4,0.9,0.9,24.860777884275887,cox,0.3,ibs,0.225168
4,0.9,0.9,24.860777884275887,cox_l2,0.3,cindex,0.741501
4,0.9,0.9,24.860777884275887,cox_l2,0.3,ibs,0.231045
4,0.9,0.9,24.860777884275887,aft,0.3,cindex,0.719547
4,0.9,0.9,24.860777884275887,aft,0.3,ibs,0.1807
4,0.9,0.9,24.860777884275887,coxtime,0.3,cindex,0.701431
4,0.9,0.9,24.860777884275887,coxtime,0.3,ibs,0.281953
5,0.1,0.213,0,cox,0.3,cindex,0.79685
5,0.1,0.213,0,cox,0.3,ibs,0.163921
5,0.1,0.213,0,cox_l2,0.3,cindex,0.79525
5,0.1,0.213,0,cox_l2,0.3,ibs,0.152542
5,0.1,0.213,0,aft,0.3,cindex,0.725504
5,0.1,0.213,0,aft,0.3,ibs,0.200165
5,0.1,0.213,0,coxtime,0.3,cindex,0.508387
5,0.1,0.213,0,coxtime,0.3,ibs,0.226349
5,0.3,0.3,0.06712999026290163,cox,0.3,cindex,0.779388
5,0.3,0.3,0.06712999026290163,cox,0.3,ibs,0.169336
5,0.3,0.3,0.06712999026290163,cox_l2,0.3,cindex,0.730464
5,0.3,0.3,0.06712999026290163,cox_l2,0.3,ibs,0.184496
5,0.3,0.3,0.06712999026290163,aft,0.3,cindex,0.706471
5,0.3,0.3,0.06712999026290163,aft,0.3,ibs,0.230495
5,0.3,0.3,0.06712999026290163,coxtime,0.3,cindex,0.663821
5,0.3,0.3,0.06712999026290163,coxtime,0.3,ibs,0.210912
5,0.5,0.5,0.3267207724349223,cox,0.3,cindex,0.768339
5,0.5,0.5,0.3267207724349223,cox,0.3,ibs,0.162605
5,0.5,0.5,0.3267207724349223,cox_l2,0.3,cindex,0.771948
5,0.5,0.5,0.3267207724349223,cox_l2,0.3,ibs,0.179259
5,0.5,0.5,0.3267207724349223,aft,0.3,cindex,0.760148
5,0.5,0.5,0.3267207724349223,aft,0.3,ibs,0.170445
5,0.5,0.5,0.3267207724349223,coxtime,0.3,cindex,0.741596
5,0.5,0.5,0.3267207724349223,coxtime,0.3,ibs,0.203282
5,0.7,0.7,1.5883779012440435,cox,0.3,cindex,0.787299
5,0.7,0.7,1.5883779012440435,cox,0.3,ibs,0.240375
5,0.7,0.7,1.5883779012440435,cox_l2,0.3,cindex,0.736319
5,0.7,0.7,1.5883779012440435,cox_l2,0.3,ibs,0.176885
5,0.7,0.7,1.5883779012440435,aft,0.3,cindex,0.736732
5,0.7,0.7,1.5883779012440435,aft,0.3,ibs,0.184036
5,0.7,0.7,1.5883779012440435,coxtime,0.3,cindex,0.749597
5,0.7,0.7,1.5883779012440435,coxtime,0.3,ibs,0.204881
5,0.9,0.9,24.764652283313904,cox,0.3,cindex,0.749646
5,0.9,0.9,24.764652283313904,cox,0.3,ibs,0.279665
5,0.9,0.9,24.764652283313904,cox_l2,0.3,cindex,0.725931
5,0.9,0.9,24.764652283313904,cox_l2,0.3,ibs,0.274327
5,0.9,0.9,24.764652283313904,aft,0.3,cindex,0.721272
5,0.9,0.9,24.764652283313904,aft,0.3,ibs,0.203594
5,0.9,0.9,24.764652283313904,coxtime,0.3,cindex,0.73855
5,0.9,0.9,24.764652283313904,coxtime,0.3,ibs,0.278017
6,0.1,0.2125,0,cox,0.3,cindex,0.792079
6,0.1,0.2125,0,cox,0.3,ibs,0.153772
6,0.1,0.2125,0,cox_l2,0.3,cindex,0.726541
6,0.1,0.2125,0,cox_l2,0.3,ibs,0.19432
6,0.1,0.2125,0,aft,0.3,cindex,0.73665
6,0.1,0.2125,0,aft,0.3,ibs,0.193491
6,0.1,0.2125,0,coxtime,0.3,cindex,0.613412
6,0.1,0.2125,0,coxtime,0.3,ibs,0.219708
6,0.3,0.3,0.06242071496158541,cox,0.3,cindex,0.723314
6,0.3,0.3,0.06242071496158541,cox,0.3,ibs,0.18524
6,0.3,0.3,0.06242071496158541,cox_l2,0.3,cindex,0.765299
6,0.3,0.3,0.06242071496158541,cox_l2,0.3,ibs,0.222254
6,0.3,0.3,0.06242071496158541,aft,0.3,cindex,0.669742
6,0.3,0.3,0.06242071496158541,aft,0.3,ibs,0.220921
6,0.3,0.3,0.06242071496158541,coxtime,0.3,cindex,0.626207
6,0.3,0.3,0.06242071496158541,coxtime,0.3,ibs,0.218663
6,0.5,0.5,0.3504717045225602,cox,0.3,cindex,0.769201
6,0.5,0.5,0.3504717045225602,cox,0.3,ibs,0.184692
6,0.5,0.5,0.3504717045225602,cox_l2,0.3,cindex,0.786826
6,0.5,0.5,0.3504717045225602,cox_l2,0.3,ibs,0.151898
6,0.5,0.5,0.3504717045225602,aft,0.3,cindex,0.707747
6,0.5,0.5,0.3504717045225602,aft,0.3,ibs,0.213963
6,0.5,0.5,0.3504717045225602,coxtime,0.3,cindex,0.694374
6,0.5,0.5,0.3504717045225602,coxtime,0.3,ibs,0.210534
6,0.7,0.7,1.6103603603603582,cox,0.3,cindex,0.74858
6,0.7,0.7,1.6103603603603582,cox,0.3,ibs,0.177229
6,0.7,0.7,1.6103603603603582,cox_l2,0.3,cindex,0.752622
6,0.7,0.7,1.6103603603603582,cox_l2,0.3,ibs,0.165965
6,0.7,0.7,1.6103603603603582,aft,0.3,cindex,0.637021
6,0.7,0.7,1.6103603603603582,aft,0.3,ibs,0.247599
6,0.7,0.7,1.6103603603603582,coxtime,0.3,cindex,0.74573
6,0.7,0.7,1.6103603603603582,coxtime,0.3,ibs,0.205921
6,0.9,0.9,27.552376645976352,cox,0.3,cindex,0.728579
6,0.9,0.9,27.552376645976352,cox,0.3,ibs,0.288864
6,0.9,0.9,27.552376645976352,cox_l2,0.3,cindex,0.746818
6,0.9,0.9,27.552376645976352,cox_l2,0.3,ibs,0.306471
6,0.9,0.9,27.552376645976352,aft,0.3,cindex,0.759251
6,0.9,0.9,27.552376645976352,aft,0.3,ibs,0.23383
6,0.9,0.9,27.552376645976352,coxtime,0.3,cindex,0.700267
6,0.9,0.9,27.552376645976352,coxtime,0.3,ibs,0.286581
7,0.1,0.205,0,cox,0.3,cindex,0.727274
7,0.1,0.205,0,cox,0.3,ibs,0.194745
7,0.1,0.205,0,cox_l2,0.3,cindex,0.759445
7,0.1,0.205,0,cox_l2,0.3,ibs,0.175222
7,0.1,0.205,0,aft,0.3,cindex,0.717784
7,0.1,0.205,0,aft,0.3,ibs,0.188479
7,0.1,0.205,0,coxtime,0.3,cindex,0.629938
7,0.1,0.205,0,coxtime,0.3,ibs,0.213973
7,0.3,0.3,0.06483892386371902,cox,0.3,cindex,0.757502
7,0.3,0.3,0.06483892386371902,cox,0.3,ibs,0.209383
7,0.3,0.3,0.06483892386371902,cox_l2,0.3,cindex,0.707606
7,0.3,0.3,0.06483892386371902,cox_l2,0.3,ibs,0.191933
7,0.3,0.3,0.06483892386371902,aft,0.3,cindex,0.762152
7,0.3,0.3,0.06483892386371902,aft,0.3,ibs,0.214168
7,0.3,0.3,0.06483892386371902,coxtime,0.3,cindex,0.716132
7,0.3,0.3,0.06483892386371902,coxtime,0.3,ibs,0.193648
7,0.5,0.5,0.34921640905441875,cox,0.3,cindex,0.784152
7,0.5,0.5,0.34921640905441875,cox,0.3,ibs,0.149871
7,0.5,0.5,0.34921640905441875,cox_l2,0.3,cindex,0.775389
7,0.5,0.5,0.34921640905441875,cox_l2,0.3,ibs,0.176516
7,0.5,0.5,0.34921640905441875,aft,0.3,cindex,0.735327
7,0.5,0.5,0.34921640905441875,aft,0.3,ibs,0.199017
7,0.5,0.5,0.34921640905441875,coxtime,0.3,cindex,0.712552
7,0.5,0.5,0.34921640905441875,coxtime,0.3,ibs,0.196549
7,0.7,0.7,1.674048604711932,cox,0.3,cindex,0.761928
7,0.7,0.7,1.674048604711932,cox,0.3,ibs,0.162111
7,0.7,0.7,1.674048604711932,cox_l2,0.3,cindex,0.690501
7,0.7,0.7,1.674048604711932,cox_l2,0.3,ibs,0.194437
7,0.7,0.7,1.674048604711932,aft,0.3,cindex,0.753667
7,0.7,0.7,1.674048604711932,aft,0.3,ibs,0.180627
7,0.7,0.7,1.674048604711932,coxtime,0.3,cindex,0.733852
7,0.7,0.7,1.674048604711932,coxtime,0.3,ibs,0.208552
7,0.9,0.9,33.76977284199902,cox,0.3,cindex,0.736268
7,0.9,0.9,33.76977284199902,cox,0.3,ibs,0.286875
7,0.9,0.9,33.76977284199902,cox_l2,0.3,cindex,0.748647
7,0.9,0.9,33.76977284199902,cox_l2,0.3,ibs,0.344598
7,0.9,0.9,33.76977284199902,aft,0.3,cindex,0.715339
7,0.9,0.9,33.76977284199902,aft,0.3,ibs,0.205374
7,0.9,0.9,33.76977284199902,coxtime,0.3,cindex,0.731763
7,0.9,0.9,33.76977284199902,coxtime,0.3,ibs,0.281677
8,0.1,0.199,0,cox,0.3,cindex,0.748101
8,0.1,0.199,0,cox,0.3,ibs,0.176796
8,0.1,0.199,0,cox_l2,0.3,cindex,0.718077
8,0.1,0.199,0,cox_l2,0.3,ibs,0.182553
8,0.1,0.199,0,aft,0.3,cindex,0.734644
8,0.1,0.199,0,aft,0.3,ibs,0.204493
8,0.1,0.199,0,coxtime,0.3,cindex,0.620519
8,0.1,0.199,0,coxtime,0.3,ibs,0.214605
8,0.3,0.3,0.07294279508785681,cox,0.3,cindex,0.706506
8,0.3,0.3,0.07294279508785681,cox,0.3,ibs,0.191023
8,0.3,0.3,0.07294279508785681,cox_l2,0.3,cindex,0.787589
8,0.3,0.3,0.07294279508785681,cox_l2,0.3,ibs,0.189096
8,0.3,0.3,0.07294279508785681,aft,0.3,cindex,0.737784
8,0.3,0.3,0.07294279508785681,aft,0.3,ibs,0.178048
8,0.3,0.3,0.07294279508785681,coxtime,0.3,cindex,0.637396
