threads,n,loss,train_median_s,train_iqr_s,eval_median_s,eval_iqr_s
1,100,aft,2.411000000000058,0.33000000000174623,0.029999999998835847,0.0039999999971769284
1,100,cox,2.095000000001164,0.5829999999987194,0.031000000002677552,0.007499999999708962
1,100,cox_l2,2.576999999997497,0.4040000000022701,0.033999999999650754,0.008999999998195563
1,100,coxtime,1.830999999998312,0.3370000000031723,0.1620000000038999,0.041499999999359716
1,500,aft,2.22099999999773,0.3489999999983411,0.4389999999984866,0.051500000001396984
1,500,cox,2.209000000002561,0.36499999999796273,0.5120000000024447,0.04800000000250293
1,500,cox_l2,2.1299999999973807,0.3460000000013679,0.3929999999963911,0.04550000000017462
1,500,coxtime,2.940999999998894,0.15099999999802094,1.625,0.2129999999961001
1,1000,aft,2.7119999999995343,0.26599999999962165,1.8629999999975553,0.1069999999999709
1,1000,cox,2.4069999999992433,0.4500000000007276,1.8630000000048312,0.3195000000014261
1,1000,cox_l2,2.541000000004715,0.13449999999647844,1.8629999999975553,0.24550000000090222
1,1000,coxtime,4.084999999999127,0.07250000000203727,4.14100000000326,0.030000000002473826
1,10000,aft,4.57999999999447,0.4419999999990978,155.22400000000198,1.5704999999979918
1,10000,cox,6.02100000000064,0.15599999999903957,154.52599999999802,0.842000000000553
1,10000,cox_l2,5.457999999998719,0.26150000000052387,154.67599999999948,0.3555000000014843
1,10000,coxtime,577.7569999999978,42.294999999998254,194.70500000000175,6.944500000001426
12,100,aft,2.603000000002794,0.11350000000311411,0.026999999994586688,0.01900000000023283
12,100,cox,2.2050000000017462,0.2109999999993306,0.036999999996623956,0.015500000001338776
12,100,cox_l2,2.4910000000018044,0.46600000000034925,0.02899999999499414,0.0024999999986903276
12,100,coxtime,2.300999999999476,0.24350000000049477,0.22000000000116415,0.006499999999505235
12,500,aft,2.1149999999979627,0.2750000000014552,0.3209999999962747,0.022499999999126885
12,500,cox,2.4720000000015716,0.08949999999822467,0.4379999999946449,0.07699999999749707
12,500,cox_l2,2.3209999999962747,0.03250000000116415,0.39900000000488944,0.027000000001862645
12,500,coxtime,2.888999999995576,0.10399999999935972,1.5,0.11349999999947613
12,1000,aft,2.2439999999987776,0.044499999999970896,1.3740000000034343,0.05249999999796273
12,1000,cox,2.3649999999979627,0.07600000000093132,1.4429999999993015,0.18850000000020373
12,1000,cox_l2,2.8170000000027358,0.54399999999805,1.533000000003085,0.19800000000032014
12,1000,coxtime,3.877999999996973,0.3319999999985157,3.5010000000038417,0.3260000000009313
12,10000,aft,4.4209999999948195,0.16700000000128057,154.75700000000506,5.249999999996362
12,10000,cox,5.973000000005413,0.3890000000028522,156.05200000000332,0.830999999998312
12,10000,cox_l2,4.8990000000048894,0.08549999999740976,153.32099999999627,1.0485000000007858
12,10000,coxtime,386.29699999999866,0.8954999999987194,194.4820000000036,4.694999999999709
