estimator n beta m p.cov n.cov p.length n.length
max 1786 1/3 12 0.934 0.8167 0.001749 0.001869
max 1786 3/4 275 0.9527 0.8305 0.00184 0.002044
max 2195 1/2 47 0.9506 0.8429 0.001577 0.001696
max 2195 1/3 13 0.9349 0.8131 0.00144 0.001539
max 2195 3/4 321 0.9532 0.8308 0.001503 0.001668
max 2696 1/2 52 0.95 0.8482 0.001289 0.001386
max 2696 1/3 14 0.9374 0.8234 0.001184 0.001266
max 2696 3/4 374 0.956 0.834 0.001232 0.001363
max 3313 1/2 58 0.9494 0.8393 0.001056 0.001134
max 3313 1/3 15 0.9358 0.8155 0.000972 0.00104
max 3313 3/4 437 0.9546 0.8265 0.001009 0.001114
max 4070 1/2 64 0.9504 0.8532 0.000863 0.000928
max 4070 1/3 16 0.9352 0.8313 0.000798 0.000853
max 4070 3/4 510 0.9582 0.8381 0.000826 0.000911
max 5000 1/2 71 0.9511 0.851 0.000705 0.000758
max 5000 1/3 17 0.9382 0.8255 0.000654 0.000699
max 5000 3/4 595 0.9591 0.8374 0.000675 0.000743
shorth 100 1/2 10 0.8086 0.9689 1.007911 1.045081
shorth 100 1/3 5 0.8135 0.952 0.962246 0.992476
shorth 100 3/4 32 0.7149 0.93 0.88965 0.930173
shorth 123 1/2 11 0.8099 0.9606 0.913742 0.943987
shorth 123 1/3 5 0.8278 0.9537 0.90309 0.930702
shorth 123 3/4 37 0.7196 0.9313 0.825324 0.857852
shorth 151 1/2 12 0.8427 0.9717 0.890417 0.920395
shorth 151 1/3 5 0.845 0.9574 0.846942 0.87147
shorth 151 3/4 43 0.7418 0.938 0.776985 0.804085
shorth 186 1/2 14 0.8501 0.9728 0.833546 0.860865
shorth 186 1/3 6 0.872 0.9714 0.841447 0.861622
shorth 186 3/4 50 0.7486 0.9411 0.739344 0.765811
shorth 228 1/2 15 0.8391 0.9613 0.756671 0.778942
shorth 228 1/3 6 0.8737 0.9667 0.787835 0.806609
shorth 228 3/4 59 0.7474 0.9383 0.685644 0.707197
