DataType,NumPoints,Dimension,Engine,Memory
uniform,100,3,GUDHI,259.38671875 
torus,100,3,GUDHI,257.07421875 
circle,100,4,GUDHI,4663.06640625 
annulus,100,4,GUDHI,4663.02734375 
uniform,100,4,GUDHI,4665.67578125 
circle,125,2,GUDHI,22.09375 
annulus,125,2,GUDHI,12.6640625 
uniform,125,2,GUDHI,16.3203125 
circle,125,3,GUDHI,621.296875 
annulus,125,3,GUDHI,628.15234375 
uniform,125,3,GUDHI,626.75 
torus,125,3,GUDHI,629.09375 
circle,125,4,GUDHI,14331.125 
annulus,125,4,GUDHI,14329.59375 
uniform,125,4,GUDHI,14327.86328125 
circle,150,2,GUDHI,34.75390625 
annulus,150,2,GUDHI,33.21484375 
uniform,150,2,GUDHI,38.94140625 
circle,150,3,GUDHI,1212.984375 
annulus,150,3,GUDHI,1210.08984375 
uniform,150,3,GUDHI,1210.5703125 
torus,150,3,GUDHI,1210.83203125 
circle,150,4,GUDHI,27113.88671875 
annulus,150,4,GUDHI,28154.30859375 
uniform,150,4,GUDHI,27989.18359375 
circle,175,2,GUDHI,57.0546875 
annulus,175,2,GUDHI,55.9296875 
uniform,175,2,GUDHI,54.1640625 
circle,175,3,GUDHI,2229.08984375 
annulus,175,3,GUDHI,2229.03515625 
uniform,175,3,GUDHI,2226.59375 
torus,175,3,GUDHI,2232.71484375 
circle,200,2,GUDHI,79.37890625 
annulus,200,2,GUDHI,81.40234375 
uniform,200,2,GUDHI,80.4609375 
circle,200,3,GUDHI,4038.16015625 
annulus,200,3,GUDHI,4036.3671875 
uniform,200,3,GUDHI,4040.5 
torus,200,3,GUDHI,4036.4375 
circle,225,2,GUDHI,111.16015625 
annulus,225,2,GUDHI,108.16015625 
uniform,225,2,GUDHI,114.97265625 
circle,225,3,GUDHI,6041.2734375 
annulus,225,3,GUDHI,6039.16796875 
uniform,225,3,GUDHI,6041.46484375 
torus,225,3,GUDHI,6041.828125 
circle,250,2,GUDHI,162.4609375 
annulus,250,2,GUDHI,164.1015625 
uniform,250,2,GUDHI,160.38671875 
circle,250,3,GUDHI,9174.5234375 
annulus,250,3,GUDHI,9176.9375 
uniform,250,3,GUDHI,9177.07421875 
torus,250,3,GUDHI,9177.3203125 
circle,25,2,Dionysus,8.4375 
annulus,25,2,Dionysus,8.52734375 
uniform,25,2,Dionysus,6.875 
circle,25,3,Dionysus,9.3359375 
annulus,25,3,Dionysus,10.60546875 
uniform,25,3,Dionysus,10.16796875 
torus,25,3,Dionysus,7.6484375 
circle,25,4,Dionysus,20.3671875 
annulus,25,4,Dionysus,20.91015625 
uniform,25,4,Dionysus,20.390625 
circle,50,2,Dionysus,9.59765625 
annulus,50,2,Dionysus,10.20703125 
uniform,50,2,Dionysus,11.10546875 
circle,50,3,Dionysus,58.046875 
annulus,50,3,Dionysus,55.8828125 
uniform,50,3,Dionysus,53.296875 
torus,50,3,Dionysus,54.10546875 
circle,50,4,Dionysus,600.6875 
annulus,50,4,Dionysus,602.6171875 
uniform,50,4,Dionysus,592.65234375 
circle,75,2,Dionysus,19.5234375 
annulus,75,2,Dionysus,14.39453125 
uniform,75,2,Dionysus,17.8671875 
circle,75,3,Dionysus,285.1640625 
annulus,75,3,Dionysus,280.47265625 
uniform,75,3,Dionysus,283.70703125 
torus,75,3,Dionysus,279.12890625 
circle,75,4,Dionysus,4573.63671875 
annulus,75,4,Dionysus,4579.16796875 
uniform,75,4,Dionysus,4581.58203125 
circle,100,2,Dionysus,35.19140625 
annulus,100,2,Dionysus,39.76171875 
uniform,100,2,Dionysus,36.88671875 
circle,100,3,Dionysus,840.5 
annulus,100,3,Dionysus,840.97265625 
uniform,100,3,Dionysus,841.6484375 
torus,100,3,Dionysus,839.4765625 
circle,100,4,Dionysus,18094.73046875 
annulus,100,4,Dionysus,18107.34375 
uniform,100,4,Dionysus,18096.36328125 
circle,125,2,Dionysus,67.2578125 
annulus,125,2,Dionysus,67.10546875 
uniform,125,2,Dionysus,64.82421875 
circle,125,3,Dionysus,2087.109375 
annulus,125,3,Dionysus,2090.140625 
uniform,125,3,Dionysus,2087.69140625 
torus,125,3,Dionysus,2092.2265625 
circle,125,4,Dionysus,28218.72265625 
annulus,125,4,Dionysus,28444.546875 
uniform,125,4,Dionysus,28762.30078125 
circle,150,2,Dionysus,118.66015625 
annulus,150,2,Dionysus,121.75390625 
uniform,150,2,Dionysus,126.80859375 
circle,150,3,Dionysus,4346.109375 
annulus,150,3,Dionysus,4358.359375 
uniform,150,3,Dionysus,4344.97265625 
torus,150,3,Dionysus,4357.23828125 
circle,175,2,Dionysus,192.41796875 
annulus,175,2,Dionysus,193.26171875 
uniform,175,2,Dionysus,192.15625 
circle,175,3,Dionysus,7897.17578125 
annulus,175,3,Dionysus,7896.82421875 
uniform,175,3,Dionysus,7902.60546875 
torus,175,3,Dionysus,7905.5078125 
circle,200,2,Dionysus,289.9375 
annulus,200,2,Dionysus,292.15234375 
uniform,200,2,Dionysus,289.89453125 
circle,200,3,Dionysus,13327.77734375 
annulus,200,3,Dionysus,13325.5390625 
uniform,200,3,Dionysus,13336.80859375 
torus,200,3,Dionysus,13334.88671875 
circle,225,2,Dionysus,405.38671875 
annulus,225,2,Dionysus,406.97265625 
uniform,225,2,Dionysus,408.0078125 
circle,225,3,Dionysus,19100.18359375 
annulus,225,3,Dionysus,19106.6171875 
uniform,225,3,Dionysus,19109.875 
torus,225,3,Dionysus,19106.12890625 
circle,250,2,Dionysus,533.46875 
annulus,250,2,Dionysus,543.9921875 
uniform,250,2,Dionysus,546.4921875 
circle,250,3,Dionysus,25138.23828125 
annulus,250,3,Dionysus,26834.34765625 
uniform,250,3,Dionysus,27039.39453125 
torus,250,3,Dionysus,26747.1171875 
