"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","time","circle","2","25","1","stats","0.0011758339824155","0.00114060007035732","0.00112290307879448","0.0011057531228289","0.0011067830491811","0.00110868411138654","0.00110407406464219","0.00110055413097143","0.00109553302172571","0.00110424007289112"
"2","time","circle","3","25","1","stats","0.00135841488372535","0.00132893188856542","0.00130265788175166","0.00129927799571306","0.00130740902386606","0.00128561095334589","0.00128044805023819","0.00127999798860401","0.00128000788390636","0.00128040194977075"
"3","time","circle","4","25","1","stats","0.00140919897239655","0.00136830599512905","0.00134030904155225","0.00134028505999595","0.00132394500542432","0.0013264250010252","0.00132328202016652","0.00131597905419767","0.00131790211889893","0.00131988502107561"
"4","time","circle","2","50","1","stats","0.00542729406151921","0.00532982009463012","0.00531439401675016","0.00531203998252749","0.00531629205215722","0.00531292415689677","0.00530381000135094","0.00528527703136206","0.00530737405642867","0.00529627304058522"
"5","time","circle","3","50","1","stats","0.00446511199697852","0.00428485905285925","0.00429161707870662","0.00427336408756673","0.00427578401286155","0.0042666969820857","0.00428418710362166","0.0042705440428108","0.00425274402368814","0.00427775399293751"
"6","time","circle","4","50","1","stats","0.00502134603448212","0.00486337312031537","0.00483946199528873","0.00485155801288784","0.00484250206500292","0.00484060810413212","0.00483930401969701","0.00483671703841537","0.0048281840281561","0.00484326505102217"
"7","time","circle","2","75","1","stats","0.0193336240481585","0.0192792740417644","0.0192993319360539","0.0192782690282911","0.0192871720064431","0.019289487041533","0.0192931811325252","0.0192625550553203","0.0192855440545827","0.0192707079695538"
"8","time","circle","3","75","1","stats","0.00944450800307095","0.00940350303426385","0.00937136495485902","0.00936244102194905","0.00938479695469141","0.00937953602988273","0.00938273791689426","0.00935451895929873","0.00936476199422032","0.00938210706226528"
"9","time","circle","4","75","1","stats","0.010974919074215","0.010944728157483","0.0109036291250959","0.010918349144049","0.0109298881143332","0.0109037491492927","0.0109094160143286","0.0109140971908346","0.0108857291052118","0.0109368651174009"
"10","time","circle","2","100","1","stats","0.0369553450727835","0.0368074750294909","0.0369314621202648","0.0367972559761256","0.0367938311537728","0.0369248690549284","0.0369623199803755","0.0368935400620103","0.0367635521106422","0.0367813720367849"
"11","time","circle","3","100","1","stats","0.0175119451014325","0.017444443074055","0.0174342580139637","0.0174228650284931","0.0174604430794716","0.0174631610279903","0.0174413130152971","0.0174381709657609","0.0174436899833381","0.0174539450090379"
"12","time","circle","4","100","1","stats","0.0190236428752542","0.0189712079009041","0.0189580889418721","0.0189294049050659","0.0189384309342131","0.0189393719192594","0.0189421778777614","0.0189159188885242","0.0189342949306592","0.0188850139966235"
"13","time","circle","2","125","1","stats","0.0747160410974175","0.0746322351042181","0.0599390191491693","0.0284367331769317","0.0267776111140847","0.0267175000626594","0.026047601015307","0.0258772170636803","0.0259658290306106","0.0259783081710339"
"14","time","circle","3","125","1","stats","0.0282079100143164","0.0282171339495108","0.0281877160305157","0.0282025070628151","0.0222366239177063","0.0107421810971573","0.0108921310165897","0.012596454937011","0.0282522189663723","0.0281753370072693"
"15","time","circle","4","125","1","stats","0.0122826179722324","0.012514058034867","0.0119446770986542","0.0115829010028392","0.0116276730550453","0.0115851730806753","0.0116406009765342","0.0216003840323538","0.0324725441168994","0.0324059709673747"
"16","time","circle","2","150","1","stats","0.0466939471662045","0.0447086330968887","0.0448161511449143","0.0448849541135132","0.0448029860854149","0.0447610941482708","0.0446797331096604","0.044793603126891","0.044718282064423","0.044734247145243"
"17","time","circle","3","150","1","stats","0.0465358010260388","0.0463813149835914","0.0463878229493275","0.0463348248740658","0.0463350218487903","0.04636826494243","0.0463761688442901","0.0402345309266821","0.0396552459569648","0.0396453769644722"
"18","time","circle","4","150","1","stats","0.0491427748929709","0.0490716338390484","0.0491053098812699","0.0490994588471949","0.045396446948871","0.0421636449173093","0.0421738858567551","0.0421436069300398","0.042109465925023","0.0420892649563029"
"19","time","circle","2","175","1","stats","0.052784119034186","0.0513750710524619","0.0514217030722648","0.0513564801076427","0.0516842900542542","0.0513080500531942","0.0512094480218366","0.0512928309617564","0.0514099469874054","0.0514383709523827"
"20","time","circle","3","175","1","stats","0.0197812350234017","0.0197517250198871","0.0197288210038096","0.0197839689208195","0.0197683259611949","0.0197828360833228","0.0197576840873808","0.0197836260776967","0.0198546230094507","0.0198699899483472"
"21","time","circle","4","175","1","stats","0.0615123469615355","0.0753086130134761","0.0612407138105482","0.0612099339487031","0.0379204988712445","0.0244692809646949","0.0244929338805377","0.0244728568941355","0.0244579609716311","0.0245188578264788"
"22","time","circle","2","200","1","stats","0.111761170090176","0.113095299107954","0.112655790988356","0.113622686010785","0.113344567012973","0.113598941010423","0.113438650034368","0.114016860025004","0.114960264996625","0.118680504965596"
