0.028362	0.003026	0.001814	0.001298	0.001152	0.001008	0.000991	0.000891	0.000723	0.000836	0.000892	0.000578	0.000519	0.000839	0.000975	0.000788	0.001199	0.001288	0.001743	0.001886	0.001825	0.002329	0.002169	0.001735	0.002256	0.001615	0.001667	0.001686	0.001643	0.001566	0.00187	0.001592	0.001865	0.001949	0.00211	0.002196	0.002588	0.002459	0.002719	0.002704	0.003376	0.003379	0.004224	0.004283	0.004688	0.005826	0.005918	0.006289	0.006731	0.007707	0.009616	0.009145	0.010307	0.012024	0.013887	0.013621	0.015748	0.017384	0.01953	0.02083	0.022857	0.02382	0.027521	0.032023	0.032912	0.039366	0.036985	0.038774	0.048282	0.050267	0.054456	0.052985	0.064973	0.07551	0.087718	0.085588	0.092432	0.092639	0.121005	0.120575	0.131147	0.117896	0.150138	0.162375	0.186583	0.198261	0.235571	0.22962	0.243845	0.280299	0.259135	0.262475	0.31069	0.302117	0.369606	0.342307	0.415673	0.435063	0.622432	0.53086	0.808708
0.028315	0.003337	0.001792	0.001303	0.001125	0.000821	0.000906	0.000834	0.000767	0.000743	0.000718	0.000496	0.000734	0.00096	0.000948	0.001193	0.001393	0.001812	0.001991	0.002085	0.002146	0.002237	0.00218	0.002354	0.002228	0.002165	0.001775	0.001588	0.001822	0.001795	0.002038	0.001694	0.001948	0.001886	0.002092	0.002118	0.002651	0.002491	0.002923	0.00335	0.003447	0.003512	0.004293	0.004177	0.00451	0.005305	0.005287	0.006625	0.007187	0.00863	0.009331	0.009927	0.01076	0.01251	0.013867	0.014761	0.017492	0.018524	0.020432	0.021217	0.022838	0.024887	0.029958	0.032549	0.035122	0.039609	0.036956	0.046015	0.048163	0.04908	0.0544	0.056388	0.067324	0.073821	0.082107	0.094366	0.09944	0.095602	0.110807	0.12283	0.121495	0.132414	0.146598	0.168865	0.193161	0.201983	0.224358	0.25126	0.239362	0.27247	0.303424	0.325015	0.368593	0.396486	0.338739	0.302975	0.541326	0.395534	0.607102	0.418864	0.565757
0.027908	0.00278	0.001793	0.00127	0.000993	0.000807	0.00072	0.0007	0.000748	0.000483	0.000662	0.000544	0.000586	0.000646	0.00077	0.00099	0.001162	0.001657	0.001871	0.002133	0.001969	0.002341	0.002272	0.001707	0.001883	0.001868	0.001994	0.002	0.001675	0.001726	0.001526	0.001997	0.001984	0.001775	0.002115	0.002535	0.002021	0.002491	0.00275	0.003322	0.003087	0.003424	0.004297	0.004102	0.004418	0.005432	0.005861	0.006664	0.00747	0.007949	0.008237	0.010419	0.012819	0.011168	0.013674	0.013084	0.017434	0.016208	0.020423	0.022821	0.024003	0.022513	0.029823	0.031596	0.035676	0.036332	0.039419	0.04573	0.047909	0.052076	0.052554	0.055702	0.069692	0.073971	0.076029	0.084443	0.097777	0.097994	0.110057	0.119394	0.122358	0.127829	0.158197	0.149718	0.191394	0.181448	0.218946	0.217981	0.263301	0.260004	0.277399	0.268225	0.332551	0.35113	0.36427	0.443499	0.574776	0.367979	0.453882	0.408719	0.410275
0.026321	0.002703	0.00176	0.001301	0.001026	0.000808	0.000935	0.000634	0.000779	0.000652	0.000656	0.000572	0.000615	0.000628	0.000977	0.001138	0.001113	0.001509	0.001708	0.002183	0.001857	0.001982	0.002134	0.001548	0.001918	0.001555	0.00155	0.001682	0.001748	0.001738	0.001615	0.001538	0.001744	0.001705	0.002247	0.002152	0.002002	0.002236	0.002976	0.003058	0.003033	0.002656	0.004354	0.004314	0.004342	0.004896	0.005115	0.005777	0.007121	0.007879	0.008267	0.008339	0.011282	0.013342	0.012121	0.012548	0.015466	0.016594	0.019213	0.022506	0.023946	0.02204	0.026328	0.029826	0.034179	0.03765	0.034012	0.042452	0.044567	0.047586	0.054003	0.054017	0.066171	0.074405	0.077076	0.083988	0.093961	0.090835	0.109262	0.110183	0.118904	0.117519	0.138436	0.170025	0.177184	0.188807	0.226809	0.223464	0.227641	0.278779	0.293546	0.203735	0.257821	0.410482	0.338348	0.446216	0.442251	0.4088	0.441306	0.401237	0.367329
0.025585	0.002893	0.001825	0.001362	0.000939	0.000744	0.000739	0.000752	0.00045	0.000531	0.000532	0.000421	0.00061	0.000744	0.00081	0.001096	0.000918	0.001528	0.001931	0.001807	0.001698	0.002042	0.001822	0.001646	0.001933	0.001633	0.001671	0.001679	0.001852	0.001718	0.001752	0.001523	0.002038	0.001828	0.001883	0.00227	0.002048	0.002525	0.002425	0.002362	0.003392	0.002998	0.003792	0.004001	0.004379	0.004564	0.004986	0.005796	0.00714	0.007574	0.007879	0.008413	0.009706	0.012816	0.013863	0.012546	0.014669	0.01625	0.020511	0.021109	0.021601	0.022986	0.026301	0.029161	0.032347	0.036429	0.03613	0.039414	0.046289	0.04852	0.055397	0.054666	0.0664	0.072655	0.083794	0.088346	0.095736	0.099855	0.115749	0.121609	0.120331	0.114616	0.144714	0.157177	0.189135	0.184861	0.219688	0.233898	0.271434	0.277941	0.281336	0.266835	0.326306	0.328793	0.331414	0.356544	0.447638	0.533714	0.448221	0.309917	0.400342
0.025331	0.00265	0.001721	0.001193	0.000895	0.000622	0.000684	0.000609	0.000612	0.000412	0.000466	0.000691	0.000538	0.000604	0.000678	0.000956	0.001413	0.001412	0.002066	0.001958	0.001659	0.002117	0.001707	0.001514	0.001548	0.001699	0.001648	0.001526	0.001796	0.001654	0.001749	0.001799	0.001961	0.001619	0.001973	0.001953	0.002174	0.0021	0.002591	0.002596	0.002792	0.002983	0.00395	0.003747	0.004138	0.004521	0.005249	0.00575	0.006927	0.007705	0.009312	0.008029	0.009899	0.011058	0.013295	0.014108	0.016224	0.015735	0.018758	0.019428	0.021077	0.022736	0.026013	0.030395	0.031801	0.037885	0.035847	0.04366	0.048095	0.048955	0.054422	0.055585	0.066464	0.070426	0.081116	0.080698	0.092926	0.091027	0.10886	0.120039	0.124564	0.121065	0.147658	0.15183	0.182569	0.198474	0.202875	0.222532	0.244335	0.276213	0.286608	0.249832	0.299029	0.369214	0.413075	0.373131	0.379594	0.380889	0.372049	0.322863	0.614751
0.024276	0.002405	0.001373	0.001024	0.000895	0.000657	0.000485	0.000636	0.000492	0.000525	0.000473	0.000533	0.000622	0.000493	0.00071	0.000904	0.000991	0.001469	0.001324	0.001689	0.002015	0.001698	0.001869	0.001728	0.001948	0.001677	0.00147	0.00166	0.001801	0.001401	0.001695	0.001753	0.002001	0.001622	0.002089	0.002006	0.001934	0.002372	0.00262	0.002764	0.003195	0.003333	0.004203	0.003561	0.004107	0.005164	0.004844	0.005918	0.006539	0.007545	0.00748	0.009555	0.010896	0.010863	0.011816	0.013664	0.016219	0.015755	0.019457	0.020484	0.023536	0.023153	0.028001	0.031575	0.032605	0.036679	0.036683	0.039224	0.048097	0.050641	0.054613	0.055703	0.068793	0.075664	0.082716	0.089084	0.10017	0.095908	0.11414	0.119129	0.13483	0.138056	0.152037	0.166739	0.197232	0.208374	0.241638	0.250082	0.255572	0.267159	0.286719	0.288165	0.360335	0.369199	0.36886	0.454611	0.476956	0.455327	0.5085	0.635449	0.712293
0.024719	0.002523	0.001555	0.000996	0.000909	0.000615	0.0008	0.000411	0.000548	0.000538	0.00051	0.000513	0.000481	0.000605	0.000648	0.001036	0.001099	0.001355	0.001917	0.001911	0.001994	0.002152	0.001708	0.001548	0.001536	0.001593	0.001856	0.001444	0.001877	0.001545	0.001827	0.002039	0.002122	0.001985	0.002015	0.001709	0.002204	0.002528	0.002741	0.002689	0.003121	0.002764	0.003807	0.003845	0.003945	0.004912	0.005371	0.005493	0.006457	0.007415	0.008437	0.008958	0.0103	0.010962	0.011915	0.013181	0.016906	0.018756	0.017398	0.019005	0.020378	0.022767	0.027978	0.029548	0.033393	0.036387	0.035659	0.042405	0.046223	0.049976	0.052155	0.052541	0.062362	0.07576	0.083738	0.083554	0.092964	0.093174	0.110601	0.113921	0.11975	0.112482	0.131653	0.161808	0.172295	0.186742	0.206289	0.224741	0.237554	0.269225	0.278743	0.2727	0.338598	0.329642	0.346482	0.397807	0.484738	0.41833	0.548996	0.149701	0.742153
0.023249	0.002151	0.001544	0.00082	0.000691	0.000528	0.000533	0.000637	0.000606	0.000564	0.000483	0.000417	0.000531	0.000572	0.000442	0.00067	0.000988	0.001446	0.001754	0.001786	0.001946	0.002373	0.001858	0.001875	0.00162	0.001607	0.001408	0.00196	0.001281	0.001494	0.001757	0.001328	0.001809	0.001766	0.001922	0.002136	0.002167	0.002352	0.002491	0.002352	0.002683	0.002792	0.004309	0.003368	0.003507	0.004811	0.005316	0.006399	0.006087	0.007556	0.008388	0.007881	0.010184	0.011269	0.012657	0.011935	0.0132	0.016444	0.020063	0.020266	0.021252	0.021438	0.026032	0.029485	0.033231	0.035975	0.035749	0.042507	0.044026	0.046693	0.051748	0.050947	0.061007	0.068776	0.07897	0.080471	0.089192	0.086804	0.106609	0.110055	0.118566	0.111793	0.14551	0.145766	0.163652	0.182867	0.200064	0.20357	0.248599	0.256643	0.255709	0.281206	0.305078	0.3529	0.403726	0.400857	0.377347	0.337325	0.484678	0.480105	0.432425
0.024573	0.002256	0.00127	0.001013	0.000728	0.000705	0.000695	0.0005	0.000564	0.000443	0.00044	0.000509	0.000453	0.000452	0.000602	0.001036	0.000888	0.001415	0.002066	0.001945	0.001931	0.001923	0.001537	0.00149	0.001517	0.001467	0.001443	0.001446	0.001356	0.001444	0.001652	0.001629	0.001946	0.002015	0.002086	0.002016	0.0021	0.002545	0.002488	0.003098	0.003042	0.002958	0.004502	0.003697	0.003717	0.004957	0.005219	0.005952	0.006892	0.006988	0.007528	0.008001	0.010299	0.011927	0.012261	0.012915	0.014443	0.016514	0.021439	0.02373	0.020622	0.021659	0.026957	0.029489	0.033149	0.039011	0.038476	0.042432	0.047959	0.052334	0.05397	0.054128	0.065792	0.072049	0.082126	0.08878	0.092129	0.097178	0.116538	0.126513	0.116663	0.124843	0.133903	0.158129	0.185211	0.175619	0.204966	0.227265	0.247003	0.259077	0.281797	0.309132	0.277751	0.357192	0.336608	0.468752	0.443525	0.507058	0.554222	0.42192	0.462939
