"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","2.26","1.14","0.67","14.39","3.89","1.04","2.44","1.28","0.74","15.53","4.82","1.81","2.38","1.39","1.06","14.51","4.27","1.83"
"","SD","0.62","0.32","0.16","12.62","3.40","0.75","0.62","0.33","0.18","12.53","3.33","0.82","0.61","0.36","0.27","13.01","3.10","0.96"
"$\text{DS}_{1, \text{nai}}$","Mean","2.06","1.02","0.62","12.78","3.50","0.93","2.48","\bftab 1.24","\bftab 0.72","14.31","4.74","1.99","2.20","1.31","\bftab 1.05","12.90","3.92","1.82"
"","SD","0.68","0.30","0.16","11.12","3.09","0.68","0.61","0.32","0.17","11.12","3.05","0.82","0.69","0.34","0.28","11.51","2.74","0.92"
"$\text{DS}_{3, \text{opt}}$","Mean","1.47","0.70","0.35","15.45","3.95","1.00","\bftab 2.35","1.57","1.17","16.32","4.73","\bftab 1.71","1.68","1.15","1.18","15.30","4.29","\bftab 1.80"
"","SD","0.51","0.25","0.12","13.09","3.44","0.70","0.58","0.35","0.24","13.12","3.39","0.75","0.53","0.36","0.48","13.19","3.05","0.92"
"$\text{DS}_{3, \text{nai}}$","Mean","1.33","0.65","0.33","14.01","3.57","0.91","2.49","1.76","1.34","15.14","\bftab 4.62","1.89","1.55","\bftab 1.13","1.23","13.91","3.99","\bftab 1.80"
"","SD","0.48","0.24","0.11","12.04","3.13","0.65","0.59","0.36","0.24","12.05","3.08","0.74","0.50","0.37","0.51","12.07","2.77","0.91"
"X13","Mean","0.97","0.89","0.86","9.99","4.78","2.32","3.77","1.45","0.98","12.87","5.50","2.44","1.41","1.29","1.20","10.39","5.16","2.71"
"","SD","0.39","0.28","0.18","9.18","4.00","1.51","0.50","0.34","0.21","9.17","4.02","1.53","0.48","0.35","0.26","9.00","3.54","1.67"
"TS","Mean","0.51","0.34","0.86","4.34","1.19","0.45","2.77","1.63","1.70","8.82","\bftab 4.62","1.74","1.56","1.53","1.39","\bftab 5.68","\bftab 2.92","1.86"
"","SD","0.48","0.51","1.44","5.07","1.49","0.68","0.92","0.79","1.89","5.10","2.32","1.02","0.60","0.83","0.91","4.45","1.81","0.89"
"STL","Mean","0.76","0.76","0.77","7.48","3.99","2.03","4.53","1.87","0.85","11.24","5.11","2.11","\bftab 1.29","1.19","1.11","7.75","4.33","2.39"
"","SD","0.36","0.26","0.17","7.23","3.42","1.29","0.40","0.34","0.19","7.23","3.43","1.29","0.50","0.36","0.26","6.79","2.99","1.48"
"TBATS","Mean","1.12","0.86","0.76","4.92","1.75","0.95","5.64","5.36","5.22","9.47","6.23","5.38","26.42","28.71","32.20","30.09","31.05","43.35"
"","SD","0.35","0.18","0.12","5.01","1.26","0.37","0.33","0.16","0.08","4.98","1.26","0.28","27.46","27.56","28.76","26.95","28.51","285.12"
"MA","Mean","\bftab 0.41","\bftab 0.21","\bftab 0.10","\bftab 4.18","\bftab 1.05","\bftab 0.25","4.99","4.70","4.57","\bftab 8.76","5.55","4.72","2.15","3.46","6.19","\bftab 5.68","4.29","6.47"
"","SD","0.30","0.15","0.08","4.77","1.19","0.25","0.32","0.16","0.08","4.80","1.19","0.26","1.24","2.07","3.61","4.44","2.61","3.95"
