"estimator","h.ci","h.sigma","VI","m.value","m.star"
xicor,3,3,0.001923339,409,246
xicor,3,3,0.002105498,430,246
xicor,3,3,0.00218148,450,246
xicor,3,3,0.002322532,470,246
xicor,3,3,0.002276975,491,246
xicor,3,3,0.002358568,511,246
xicor,3,3,0.002504555,532,246
xicor,3,3,0.002649558,552,246
xicor,3,3,0.002793502,572,246
xicor,3,3,0.002881587,593,246
xicor,3,3,0.002842794,613,246
xicor,3,3,0.002942499,633,246
xicor,3,3,0.002906995,654,246
xicor,3,3,0.002910088,674,246
xicor,3,3,0.002809524,694,246
xicor,3,3,0.002842979,715,246
xicor,3,3,0.002903053,735,246
xicor,3,3,0.003081283,756,246
xicor,3,3,0.003440125,776,246
xicor,3,3,0.003880519,796,246
xicor,3,3,0.004386419,817,246
xicor,3,3,0.00492669,837,246
xicor,3,3,0.00556206,857,246
xicor,3,3,0.006711875,878,246
xicor,3,3,0.007245968,898,246
xicor,3,3,0.007333109,919,246
xicor,3,3,0.00719642,939,246
