"estimator" "n" "m.method" "m.mean" "tau.method" "tau.mean" "p.cov" "p.length" "sd.tau" "sd.m"
"mean" 3313 "bickel" 79.072042 "real" 0.5 0.943545 0.012906 0 145.071866
"mean" 4070 "bickel" 81.380296 "real" 0.5 0.940348 0.011654 0 166.796285
"mean" 5000 "bickel" 106.149181 "real" 0.5 0.943445 0.010529 0 219.245446
"mean" 100 "goetze" 16.766587 "real" 0.5 0.911271 0.068291 0 7.697904
"mean" 123 "goetze" 19.234213 "real" 0.5 0.916067 0.062146 0 9.826545
"mean" 151 "goetze" 22.093925 "real" 0.5 0.918965 0.056411 0 11.38767
"mean" 186 "goetze" 25.642286 "real" 0.5 0.923261 0.051094 0 14.590324
"mean" 228 "goetze" 29.847322 "real" 0.5 0.926059 0.04644 0 18.397753
"mean" 280 "goetze" 35.280975 "real" 0.5 0.922262 0.042023 0 20.691246
"mean" 344 "goetze" 42.053957 "real" 0.5 0.927058 0.038043 0 26.598747
"mean" 423 "goetze" 49.595124 "real" 0.5 0.928357 0.034415 0 31.048073
"mean" 520 "goetze" 59.21263 "real" 0.5 0.925859 0.031075 0 41.312101
"mean" 638 "goetze" 70.804956 "real" 0.5 0.929856 0.028111 0 49.231845
"mean" 784 "goetze" 84.810152 "real" 0.5 0.932854 0.025397 0 57.088986
"mean" 963 "goetze" 102.746603 "real" 0.5 0.929057 0.022964 0 67.028979
"mean" 1184 "goetze" 123.540368 "real" 0.5 0.933953 0.020741 0 87.693568
"mean" 1454 "goetze" 149.921663 "real" 0.5 0.935152 0.018743 0 101.578756
"mean" 1786 "goetze" 179.665867 "real" 0.5 0.932154 0.016935 0 123.175162
"mean" 2195 "goetze" 215.280576 "real" 0.5 0.932154 0.015293 0 141.04903
"mean" 2696 "goetze" 263.293765 "real" 0.5 0.936051 0.013798 0 192.619284
"mean" 3313 "goetze" 314.902878 "real" 0.5 0.930955 0.01247 0 241.501028
"mean" 4070 "goetze" 383.171863 "real" 0.5 0.936451 0.011258 0 292.381979
"mean" 5000 "goetze" 466.14948 "real" 0.5 0.93765 0.010162 0 319.851725
"mean" 100 "politis" 25.0965 "real" 0.5 0.8973 0.064734 0 12.281876
"mean" 123 "politis" 31.0802 "real" 0.5 0.8951 0.058372 0 15.429969
"mean" 151 "politis" 38.295 "real" 0.5 0.9009 0.052746 0 17.586792
"mean" 186 "politis" 46.4729 "real" 0.5 0.9001 0.047645 0 23.573521
"mean" 228 "politis" 56.7547 "real" 0.5 0.9015 0.043109 0 28.21422
"mean" 280 "politis" 69.895 "real" 0.5 0.9057 0.038872 0 35.219035
"mean" 344 "politis" 84.2688 "real" 0.5 0.9013 0.03524 0 41.505976
"mean" 423 "politis" 103.2952 "real" 0.5 0.9051 0.031781 0 51.293273
"mean" 520 "politis" 127.3049 "real" 0.5 0.9027 0.028657 0 65.700884
"mean" 638 "politis" 156.8716 "real" 0.5 0.9029 0.02586 0 79.43223
"mean" 784 "politis" 189.8065 "real" 0.5 0.9045 0.023385 0 101.576654
"mean" 963 "politis" 233.1955 "real" 0.5 0.9029 0.021107 0 124.180698
"mean" 1184 "politis" 286.286 "real" 0.5 0.9017 0.019031 0 147.228906
"mean" 1454 "politis" 349.7184 "real" 0.5 0.9099 0.017195 0 184.432734
"mean" 1786 "politis" 425.7221 "real" 0.5 0.8969 0.015536 0 225.3138
"mean" 2195 "politis" 531.4125 "real" 0.5 0.9057 0.013985 0 286.2517
"mean" 2696 "politis" 646.4154 "real" 0.5 0.9006 0.012634 0 325.335062
"mean" 3313 "politis" 784.6698 "real" 0.5 0.9071 0.011426 0 410.61359
"mean" 4070 "politis" 973.3507 "real" 0.5 0.9035 0.010293 0 517.341694
"mean" 5000 "politis" 1192.711 "real" 0.5 0.9064 0.009284 0 649.895515
"shorth" 100 "bickel" 9.43111 "real" 0.333333 0.808706 1.005305 0 5.928341
"shorth" 123 "bickel" 12.326877 "real" 0.333333 0.819988 0.929615 0 10.262978
"shorth" 151 "bickel" 12.030351 "real" 0.333333 0.824481 0.86913 0 10.372558
"shorth" 186 "bickel" 11.303015 "real" 0.333333 0.852336 0.830012 0 11.649958
"shorth" 228 "bickel" 11.372704 "real" 0.333333 0.857428 0.778812 0 13.4131
"shorth" 280 "bickel" 14.319888 "real" 0.333333 0.866414 0.718885 0 19.144242
"shorth" 344 "bickel" 15.778454 "real" 0.333333 0.870907 0.669395 0 17.665421
"shorth" 423 "bickel" 14.769469 "real" 0.333333 0.88768 0.638584 0 29.656001
"shorth" 520 "bickel" 20.224241 "real" 0.333333 0.878095 0.590336 0 27.191342
"shorth" 638 "bickel" 20.372204 "real" 0.333333 0.89367 0.551153 0 29.749104
"shorth" 784 "bickel" 19.566194 "real" 0.333333 0.901258 0.520265 0 44.674736
"shorth" 963 "bickel" 21.38748 "real" 0.333333 0.908546 0.485772 0 39.917139
"shorth" 1184 "bickel" 31.47494 "real" 0.333333 0.904553 0.449252 0 64.003494
"shorth" 1454 "bickel" 34.666434 "real" 0.333333 0.907149 0.417756 0 60.542551
"shorth" 1786 "bickel" 32.664038 "real" 0.333333 0.922125 0.396394 0 78.992126
"shorth" 2195 "bickel" 49.866913 "real" 0.333333 0.911841 0.366208 0 92.151781
"shorth" 2696 "bickel" 55.120208 "real" 0.333333 0.917732 0.341098 0 108.940982
"shorth" 3313 "bickel" 59.204972 "real" 0.333333 0.925819 0.319444 0 187.436576
"shorth" 4070 "bickel" 64.548023 "real" 0.333333 0.930611 0.299344 0 154.042937
"shorth" 5000 "bickel" 91.540835 "real" 0.333333 0.927516 0.277436 0 229.783466
"shorth" 100 "goetze" 15.742812 "real" 0.333333 0.779353 0.989181 0 9.40762
"shorth" 123 "goetze" 16.930511 "real" 0.333333 0.808007 0.931296 0 9.503682
"shorth" 151 "goetze" 18.284744 "real" 0.333333 0.81879 0.875614 0 12.381275
"shorth" 186 "goetze" 19.827077 "real" 0.333333 0.823982 0.821731 0 14.127496
"shorth" 228 "goetze" 21.665735 "real" 0.333333 0.836761 0.770925 0 15.173068
"shorth" 280 "goetze" 23.595447 "real" 0.333333 0.849541 0.72235 0 21.713937
"shorth" 344 "goetze" 25.798323 "real" 0.333333 0.859525 0.676008 0 21.427648
"shorth" 423 "goetze" 28.77516 "real" 0.333333 0.865116 0.631876 0 25.804033
