2,1.414213562
3,1.03527618
4,1
5,0.707106781
6,0.600925213
7,0.535898385
8,0.51763809
9,0.5
10,0.421279544
11,0.39820731
12,0.388730126
13,0.366096008
14,0.34891526
15,0.341081377
16,0.333333333
17,0.306153985
18,0.300462606
19,0.289541992
20,0.286611652
21,0.271812255
22,0.267958402
23,0.258819045
24,0.254333095
25,0.25
26,0.238734757
27,0.235849528
28,0.230535494
29,0.226882901
30,0.224502965
31,0.217547292
32,0.213174563
33,0.211328384
34,0.205604647
35,0.202763601
36,0.2
37,0.196429185
38,0.195342304
39,0.194365063
40,0.188175522
41,0.186099512
42,0.184277072
43,0.180191135
44,0.178639246
45,0.175716314
46,0.174459361
47,0.171270564
48,0.169405429
49,0.167386077
50,0.166526577
51,0.165618374
52,0.165386238
53,0.162648077
54,0.159139516
55,0.157555748
56,0.1561565
57,0.154747407
58,0.152692531
59,0.151562951
60,0.149505654
61,0.148544127
62,0.14745268
63,0.146819314
64,0.145367754
65,0.144699015
66,0.143804231
67,0.143085576
68,0.142909594
69,0.139948182
70,0.137906777
71,0.136612997
72,0.135849928
73,0.134728726
74,0.133998673
75,0.132488814
76,0.131730038
77,0.130844544
78,0.130460773
79,0.129965203
80,0.129613385
81,0.128336856
82,0.127426912
83,0.126454353
84,0.125762702
85,0.125315549
86,0.125044156
87,0.122826583
88,0.122099298
89,0.12094313
90,0.120448049
91,0.119812602
92,0.119362267
93,0.118384171
94,0.118056385
95,0.117119642
96,0.116757999
97,0.116357484
98,0.116153615
99,0.116018135
100,0.114581352
