2,1.732050808,,,,,
3,1.414213562,,,,,
4,1.414213562,,,,,
5,1.118033989,,,,,
6,1.060660172,,,,,
7,1.001089825,,,,,
8,1,,,,,
9,0.866025404,,,,,
10,0.75,,,,,
11,0.710116382,,,,,
12,0.707106806,,,,,
13,0.707106781,,,,,
14,0.707106781,,,,,
15,0.625,,,,,
16,0.606667121,,,,,
17,0.606091527,,,,,
18,0.600925213,,,,,
19,0.578209613,,,,,
20,0.554761175,,,,,
21,0.549038106,,,,,
22,0.530330086,,,,,
23,0.523539214,,,,,
24,0.51763809,,,,,
25,0.505135865,,,,,
26,0.501074021,,,,,
27,0.5,,,,,
28,0.47141485,,,,,
29,0.471404521,,,,,
30,0.471404521,,,,,
31,0.471404521,,,,,
32,0.471404521,,,,,
33,0.447619755,,,,,
34,0.437265214,,,,,
35,0.435414347,,,,,
36,0.426037892,,,,,
37,0.424751594,,,,,
38,0.424658783,,,,,
39,0.4189122,,,,,
40,0.416666667,,,,,
41,0.407807786,,,,,
42,0.400738456,,,,,
43,0.39529296,,,,,
44,0.392217104,,,,,
45,0.391331206,,,,,
46,0.389841972,,,,,
47,0.388730187,,,,,
48,0.388730126,,,,,
49,0.375238725,,,,,
50,0.373454739,,,,,
51,0.369949631,,,,,
52,0.365448828,,,,,
53,0.363255291,,,,,
54,0.359446412,,,,,
55,0.355822902,,,,,
56,0.353770081,,,,,
57,0.35362744,,,,,
58,0.353554213,,,,,
59,0.353553391,,,,,
60,0.353553391,,,,,
61,0.353553391,,,,,
62,0.353553391,,,,,
63,0.353553391,,,,,
64,0.339561588,,,,,
65,0.337551548,,,,,
66,0.335968393,,,,,
67,0.331490862,,,,,
68,0.327794329,,,,,
69,0.326752833,,,,,
70,0.326392689,,,,,
71,0.326363717,,,,,
72,0.326356976,,,,,
73,0.322008336,,,,,
74,0.32044146,,,,,
75,0.320381089,,,,,
76,0.316425361,,,,,
77,0.312525844,,,,,
78,0.31077416,,,,,
79,0.308948513,,,,,
80,0.308174972,,,,,
81,0.305816564,,,,,
82,0.30491444,,,,,
83,0.303050986,,,,,
84,0.303045763,,,,,
85,0.303045763,,,,,
86,0.303045763,,,,,
87,0.303045763,,,,,
88,0.300462606,,,,,
89,0.294564597,,,,,
90,0.292932965,,,,,
91,0.291408639,,,,,
92,0.290327251,,,,,
93,0.289916048,,,,,
94,0.288857808,,,,,
95,0.287865305,,,,,
96,0.287517497,,,,,
97,0.287163762,,,,,
98,0.287064218,,,,,
99,0.286628569,,,,,
100,0.286611652,,,,,
