"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","time","annulus","2","25","1","stats","0.00069635605905205","0.000636591925285757","0.000633765012025833","0.00063061504624784","0.000622754916548729","0.000627725967206061","0.0006255810149014","0.000620147911831737","0.000628851936198771","0.000618478981778026"
"2","time","annulus","3","25","1","stats","0.000560968066565692","0.00050861609634012","0.00050659803673625","0.000506894080899656","0.000493922038003802","0.000497170956805348","0.000491001061163843","0.000496787019073963","0.000492350081913173","0.000500430120155215"
"3","time","annulus","4","25","1","stats","0.000530880060978234","0.000490083009935915","0.000483293901197612","0.000481634051539004","0.000472505926154554","0.000478273956105113","0.000471740961074829","0.000483252923004329","0.000470718019641936","0.00047327799256891"
"4","time","annulus","2","50","1","stats","0.00182545406278223","0.00174076296389103","0.00173480110242963","0.00173261296004057","0.00173406105022877","0.00173700705636293","0.0017385910032317","0.00173022004310042","0.00172622210811824","0.00173103099223226"
"5","time","annulus","3","50","1","stats","0.0016681810375303","0.00165056390687823","0.00164161692373455","0.00164032191969454","0.00163702189456671","0.00163580093067139","0.00163991097360849","0.00164158688858151","0.00163892994169146","0.00164388888515532"
"6","time","annulus","4","50","1","stats","0.00182912405580282","0.00180656299926341","0.00180294003803283","0.00180113199166954","0.00180521095171571","0.00180405203718692","0.00180026993621141","0.0018063880270347","0.00180672493297607","0.00180445204023272"
"7","time","annulus","2","75","1","stats","0.00544051709584892","0.00541864207480103","0.00542199111077935","0.0054244170896709","0.00542526505887508","0.00543812708929181","0.00543165707495064","0.00542627007234842","0.00543212203774601","0.00541490106843412"
"8","time","annulus","3","75","1","stats","0.0037180659128353","0.0036758619826287","0.00366962794214487","0.00366488890722394","0.00367132492829114","0.00366058887448162","0.00366651092190295","0.00366343394853175","0.00366734794806689","0.00366348202805966"
"9","time","annulus","4","75","1","stats","0.00463611399754882","0.00461210997309536","0.00460091000422835","0.00460848701186478","0.0046017300337553","0.00461376109160483","0.00459543301258236","0.00459980394225568","0.00461440498474985","0.00460023002233356"
"10","time","annulus","2","100","1","stats","0.0111655311193317","0.0111387741053477","0.0111408061347902","0.0112026691203937","0.0111073730513453","0.0111982730450109","0.0111272700596601","0.0111203410197049","0.0111440420150757","0.0111400160240009"
"11","time","annulus","3","100","1","stats","0.00704906694591045","0.00703167694155127","0.00701499497517943","0.00710453698411584","0.00702344393357635","0.00702218792866915","0.0070379578974098","0.00702091690618545","0.00702180794905871","0.00703032687306404"
"12","time","annulus","4","100","1","stats","0.00832708599045873","0.00829894200433046","0.00829514104407281","0.0082737299380824","0.00828787300270051","0.00829301308840513","0.00830014899838716","0.00829581893049181","0.0082872990751639","0.00828797300346196"
"13","time","annulus","2","125","1","stats","0.0289650779450312","0.0290346830151975","0.0289809840032831","0.0289381488692015","0.028921945951879","0.0292385489447042","0.0290160248987377","0.0291732089826837","0.029012638842687","0.0289650959894061"
