"Method","Quantity","s1-t1-15","s1-t1-30","s1-t1-60","s1-t2-15","s1-t2-30","s1-t2-60","s2-t1-15","s2-t1-30","s2-t1-60","s2-t2-15","s2-t2-30","s2-t2-60","s3-t1-15","s3-t1-30","s3-t1-60","s3-t2-15","s3-t2-30","s3-t2-60"
"$\text{DS}_{1, \text{opt}}$","Mean","3.60","2.62","1.52","15.90","4.23","1.21","3.72","2.67","1.54","17.04","5.16","1.97","3.67","2.78","1.78","15.31","4.73","2.02"
"","SD","0.57","0.45","0.18","13.82","3.08","0.70","0.57","0.46","0.18","13.66","3.05","0.81","0.56","0.45","0.23","11.52","3.24","0.83"
"$\text{DS}_{1, \text{nai}}$","Mean","3.53","2.34","1.47","13.77","3.76","1.09","3.67","2.39","1.49","15.31","5.04","2.11","3.61","2.52","1.74","13.77","4.34","2.01"
"","SD","0.55","0.36","0.18","11.55","2.80","0.63","0.56","0.36","0.18","11.50","2.80","0.82","0.55","0.37","0.24","10.47","2.89","0.83"
"$\text{DS}_{3, \text{opt}}$","Mean","2.30","1.16","0.61","16.65","4.31","1.19","\bftab 3.11","\bftab 1.88","\bftab 1.22","17.50","5.09","\bftab 1.88","2.49","1.57","1.35","16.38","4.80","2.00"
"","SD","0.46","0.24","0.12","14.24","3.15","0.68","0.50","0.29","0.16","14.12","3.14","0.73","0.47","0.34","0.43","12.30","3.39","0.83"
"$\text{DS}_{3, \text{nai}}$","Mean","2.17","1.10","0.58","15.11","3.93","1.08","3.15","1.96","1.29","16.25","\bftab 4.96","2.03","2.38","1.54","1.36","14.70","4.46","1.98"
"","SD","0.45","0.23","0.11","12.93","2.88","0.62","0.48","0.28","0.16","12.78","2.88","0.71","0.46","0.34","0.44","11.06","3.11","0.81"
"X13","Mean","1.72","1.56","1.38","11.04","5.43","2.92","4.63","2.28","1.75","14.09","6.23","3.16","2.26","2.10","1.97","11.34","6.01","3.44"
"","SD","0.54","0.41","0.35","9.32","3.83","1.58","0.59","0.37","0.22","9.35","3.77","1.53","0.57","0.41","0.34","8.47","4.05","1.58"
"TS","Mean","1.08","0.48","0.30","4.71","1.23","0.46","4.25","2.05","1.31","\bftab 9.14","5.11","2.04","1.84","\bftab 1.45","\bftab 1.27","\bftab 6.00","\bftab 2.92","\bftab 1.80"
"","SD","0.96","0.55","0.29","5.24","1.13","0.70","0.97","0.48","0.39","5.25","1.59","1.01","0.78","0.49","0.36","4.88","1.69","0.72"
"STL","Mean","1.18","1.21","1.21","8.17","4.37","2.40","4.95","2.32","1.29","11.96","5.50","2.48","\bftab 1.73","1.63","1.57","8.35","4.86","2.82"
"","SD","0.34","0.23","0.16","7.43","3.04","1.29","0.37","0.31","0.17","7.40","3.10","1.30","0.48","0.35","0.26","6.48","3.32","1.35"
"TBATS","Mean","1.37","1.01","0.83","5.44","1.88","0.99","5.83","5.45","5.26","9.96","6.34","5.43","26.53","28.89","30.61","30.85","30.69","32.50"
"","SD","0.32","0.16","0.07","5.30","1.11","0.26","0.33","0.16","0.07","5.30","1.09","0.26","26.60","27.17","27.06","28.52","29.32","32.04"
"MA","Mean","\bftab 0.67","\bftab 0.32","\bftab 0.16","\bftab 4.56","\bftab 1.14","\bftab 0.31","5.24","4.82","4.62","9.15","5.63","4.78","2.31","3.61","6.19","6.08","4.45","6.43"
"","SD","0.29","0.14","0.07","5.03","1.02","0.25","0.31","0.14","0.07","5.05","1.03","0.25","1.15","2.23","3.74","4.57","2.45","3.79"
