"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","time","torus","3","25","1","stats","0.000547391013242304","0.000473282998427749","0.000479747890494764","0.000464973039925098","0.000471470062620938","0.0004622369306162","0.000477597001008689","0.000457123969681561","0.000461300951428711","0.000458042020909488"
"2","time","torus","3","50","1","stats","0.00170782988425344","0.00154181302059442","0.00152449298184365","0.00152298400644213","0.0015293579781428","0.00151981902308762","0.00152053998317569","0.00151443597860634","0.00152790790889412","0.00151889189146459"
"3","time","torus","3","75","1","stats","0.00406028889119625","0.0139128139708191","0.00387624290306121","0.0221659189555794","0.0039093978703022","0.00379673682618886","0.0139334249543026","0.00385260488837957","0.0098342519486323","0.00380642991513014"
"4","time","torus","3","100","1","stats","0.00881291890982538","0.00877061486244202","0.00878133694641292","0.00877307204063982","0.00880405795760453","0.00879848399199545","0.00886096700560302","0.00891317392233759","0.00886128889396787","0.00889672292396426"
"5","time","torus","3","125","1","stats","0.0124474469339475","0.0124253230169415","0.0129121228819713","0.0125407089944929","0.0125923989107832","0.0125596888829023","0.0126857289578766","0.0126065419754013","0.0125158010050654","0.0125134428963065"
"6","time","torus","3","150","1","stats","0.0178378090495244","0.0177310269791633","0.0176191240316257","0.0176107650622725","0.0176003620726988","0.0175890049431473","0.0175967580871657","0.0175584880635142","0.0175934550352395","0.0175733849173412"
"7","time","torus","3","175","1","stats","0.0469706519506872","0.036806394928135","0.0364084199536592","0.050593133084476","0.036356596974656","0.0364346930291504","0.0398680380312726","0.0439258959377185","0.0240675680106506","0.0343441369477659"
"8","time","torus","3","200","1","stats","0.0342091369675472","0.0339451240142807","0.0338772489922121","0.0339280059561133","0.0339384380495176","0.0339886100264266","0.0308203779859468","0.0307556709740311","0.0310344229219481","0.0310869879322127"
"9","time","torus","3","225","1","stats","0.0451558618806303","0.0556707460200414","0.0457735679810867","0.0449368940899149","0.0449051520554349","0.0449616028927267","0.0452921399846673","0.0900577269494534","0.0654575320659205","0.0450563889462501"
"10","time","torus","3","250","1","stats","0.051943012047559","0.0621566489571705","0.062627790030092","0.062382900970988","0.0521694580093026","0.0767436820315197","0.0752116240328178","0.0519131829496473","0.068621973041445","0.0673010600730777"
"11","time","torus","3","275","1","stats","0.061255642096512","0.0612819151720032","0.061879598069936","0.0617109290324152","0.061508632148616","0.061506444006227","0.0612936529796571","0.0612580451415852","0.0615518520353362","0.0613836051197723"
"12","time","torus","3","300","1","stats","0.073672789032571","0.0743372810538858","0.0739834659034386","0.0750151419779286","0.0739348659990355","0.0747599479509518","0.0734578090487048","0.0738185880472884","0.073399499990046","0.0746289020171389"
"13","time","torus","3","325","1","stats","0.100212896126322","0.100866768043488","0.121223423047923","0.120852519990876","0.166079767048359","0.129063245025463","0.122290608007461","0.132297697127797","0.11158820707351","0.161003979039378"
