"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","time","uniform","2","25","1","stats","0.00126330403145403","0.00115354009903967","0.00111904309596866","0.00111599999945611","0.00112921604886651","0.00111518311314285","0.0010996691416949","0.00110706605482846","0.00109629216603935","0.00110921205487102"
"2","time","uniform","3","25","1","stats","0.00137912388890982","0.00123800500296056","0.00122793100308627","0.00122328090947121","0.00123923690989614","0.00120398995932192","0.00121155905071646","0.00121614697854966","0.00120075396262109","0.00121590693015605"
"3","time","uniform","4","25","1","stats","0.00150817912071943","0.00131300510838628","0.00129265210125595","0.00128824007697403","0.00126558705233037","0.00127203809097409","0.00125875708181411","0.00126913003623486","0.00125022605061531","0.00126480706967413"
"4","time","uniform","5","25","1","stats","0.00133966095745564","0.00123125105164945","0.00122323690447956","0.0012222439981997","0.00120669393800199","0.00118042004760355","0.00119249895215034","0.00119293294847012","0.00117576296906918","0.001193692907691"
"5","time","uniform","2","50","1","stats","0.00390696804970503","0.00384587200824171","0.00380880094598979","0.00380245398264378","0.00381637003738433","0.00380603992380202","0.00381013390142471","0.00381807098165154","0.00381255301181227","0.00381585792638361"
"6","time","uniform","3","50","1","stats","0.00445934094022959","0.00439639191608876","0.004404018050991","0.00438091589603573","0.00437443098053336","0.00439563603140414","0.00437648606020957","0.00438436598051339","0.00438011297956109","0.0043830230133608"
"7","time","uniform","4","50","1","stats","0.00461773504503071","0.00457393296528608","0.00455194793175906","0.00454272807110101","0.00453056790865958","0.00455501500982791","0.00453406397718936","0.00455338694155216","0.004566311952658","0.00453727599233389"
"8","time","uniform","5","50","1","stats","0.00437116494867951","0.0043350049527362","0.00431413296610117","0.00431325891986489","0.00430173391941935","0.00431226706132293","0.00432129995897412","0.0043080459581688","0.00430827296804637","0.00432994088623673"
"9","time","uniform","2","75","1","stats","0.00941250799223781","0.00935853598639369","0.00936064298730344","0.00936148397158831","0.0093656899407506","0.00938519299961627","0.00936865003313869","0.0093629639595747","0.00935676891822368","0.00937594298738986"
"10","time","uniform","3","75","1","stats","0.0095536079024896","0.00949032499920577","0.00949199800379574","0.0095363010186702","0.0094979020068422","0.00948577793315053","0.00949797302018851","0.00948024296667427","0.00949856697116047","0.00949877803213894"
"11","time","uniform","4","75","1","stats","0.00918112206272781","0.00916800298728049","0.00923173595219851","0.00913526199292392","0.00913823896553367","0.0091605739435181","0.0091772589366883","0.00914467801339924","0.00916109187528491","0.00915456097573042"
"12","time","uniform","5","75","1","stats","0.00986340292729437","0.00984676205553114","0.0098223879467696","0.00985695491544902","0.00984300894197077","0.00983671192079782","0.009836700046435","0.00983082200400531","0.009840510901995","0.00983714289031923"
"13","time","uniform","2","100","1","stats","0.0156644269591197","0.015665692044422","0.0156878689303994","0.0156745109707117","0.0156637539621443","0.0156772070331499","0.0156341439578682","0.0156582948984578","0.0156925739720464","0.0156536280410364"
"14","time","uniform","3","100","1","stats","0.0180044840089977","0.0179962569382042","0.0179719568695873","0.0179858879419044","0.0179861709475517","0.0179884849349037","0.0179773999843746","0.0180005020229146","0.0179894039174542","0.0180075770476833"
"15","time","uniform","4","100","1","stats","0.0189927959581837","0.018990968936123","0.0189678309252486","0.0189800009829924","0.0189764238893986","0.018986523966305","0.0189965650206432","0.0189813189208508","0.0189663768978789","0.0182765339268371"
"16","time","uniform","5","100","1","stats","0.0188683129381388","0.0183587829815224","0.0182651799404994","0.0182671219808981","0.0182704520411789","0.018258502939716","0.0182942539686337","0.0183026730082929","0.0182588408933952","0.0184190769214183"
"17","time","uniform","2","125","1","stats","0.0250678840093315","0.0250080999685451","0.0250165779143572","0.0250058689853176","0.0250637070275843","0.0250267869560048","0.0250203439500183","0.0250255279242992","0.0250388400163502","0.0250790639547631"
"18","time","uniform","3","125","1","stats","0.0254177709575742","0.0253565680468455","0.0253755969461054","0.0254170949338004","0.0254144889768213","0.0253726619994268","0.0254100050078705","0.025391133967787","0.0253756468882784","0.0254178598988801"
"19","time","uniform","4","125","1","stats","0.0273511810228229","0.0273697649827227","0.0273296309169382","0.0273845619522035","0.0273632740136236","0.0273776380345225","0.0273647959111258","0.0273580950452015","0.0273964040679857","0.0273694680072367"
"20","time","uniform","5","125","1","stats","0.0309853969374672","0.0308784689987078","0.0308662099996582","0.0308717988664284","0.0308543769642711","0.0308856748742983","0.0308815540047362","0.0309039499843493","0.0309108450310305","0.0309119318844751"
"21","time","uniform","2","150","1","stats","0.0389696119818836","0.0389201149810106","0.0388623769395053","0.0388463540002704","0.0278140410082415","0.0132987468969077","0.0132999519119039","0.0133795100264251","0.0133077369537205","0.0133013529703021"
"22","time","uniform","3","150","1","stats","0.0411069579422474","0.0410755189368501","0.0410441779531538","0.0300778390374035","0.0152410429436713","0.0152189390501007","0.0152371519943699","0.0152004029368982","0.0152108649490401","0.0152068500174209"
"23","time","uniform","4","150","1","stats","0.0526576939737424","0.0498567699687555","0.0195439259987324","0.0195041249971837","0.0195522699505091","0.0195181890157983","0.0195147310150787","0.0195467410376295","0.0195051110349596","0.0195940280100331"
"24","time","uniform","5","150","1","stats","0.0552558411145583","0.0189089950872585","0.0188999400706962","0.018906670040451","0.0188711261143908","0.0189420371316373","0.0189080199925229","0.0188673341181129","0.0188863691873848","0.0189651601249352"
"25","time","uniform","2","175","1","stats","0.0184097340097651","0.0183662780327722","0.0183578029973432","0.0184201679658145","0.0185046220431104","0.0184655569028109","0.0183859880780801","0.0184058459708467","0.0183782769599929","0.0184046529466286"
