"foci per cell"
2
1
3
7
2
0
1
10
5
3
0
10
4
1
12
9
2
0
10
0
2
7
1
0
19
0
7
1
15
11
2
3
6
1
5
2
1
3
4
0
2
2
0
1
1
2
1
5
1
1
3
3
6
2
0
0
1
7
1
5
0
2
