"foci per cell",
4,
3,
0,
0,
0,
2,
0,
4,
1,
1,
6,
1,
4,
2,
0,
0,
4,
6,
2,
5,
1,
9,
0,
1,
2,
0,
3,
5,
1,
0,
1,
1,
12,
5,
0,
1,
1,
1,
1,
3,
1,
0,
4,
0,
0,
1,
0,
2,
1,
0,
2,
1,
1,
7,
1,
1,
0,
3,
1,
0,
2,
1,
